specimen;total_thickness;tape_thickness;loading_step;strain;crack_density
S_600_140_6;600;140;100;0,001770552;0
S_600_140_6;600;140;450;0,00361785;0
S_600_140_6;600;140;800;0,005953062;0
S_600_140_6;600;140;1150;0,004770841;0
S_600_140_6;600;140;1500;0,00681542;0,016233766
S_600_140_6;600;140;1800;0,007943184;0,032467532
S_600_140_6;600;140;2100;0,00817838;0,064935065
S_600_140_6;600;140;2400;0,010458836;0,178571429
S_600_140_6;600;140;2700;0,010790608;0,227272727
S_600_140_6;600;140;2950;0,011470236;0,340909091
S_600_140_6;600;140;3200;0,013416156;0,405844156
S_600_140_6;600;140;3400;0,01391489;0,487012987
S_600_140_6;600;140;3600;0,013816049;0,519480519
S_600_140_6;600;140;3800;0,015843149;0,568181818
S_600_140_6;600;140;4000;0,017516622;0,600649351
S_600_140_7;600;140;100;0,001494636;0
S_600_140_7;600;140;450;0,001548391;0
S_600_140_7;600;140;800;0,002568649;0
S_600_140_7;600;140;1150;0,003285426;0
S_600_140_7;600;140;1500;0,004488091;0,017850768
S_600_140_7;600;140;1800;0,004741868;0,035701535
S_600_140_7;600;140;2100;0,007777415;0,089253838
S_600_140_7;600;140;2400;0,007245995;0,107104605
S_600_140_7;600;140;2700;0,007639395;0,107104605
S_600_140_7;600;140;2950;0,008988439;0,107104605
S_600_140_7;600;140;3200;0,009883714;0,142806141
S_600_140_7;600;140;3400;0,012154526;0,160656908
S_600_140_7;600;140;3600;0,013557484;0,178507676
S_600_140_7;600;140;3800;0,014623275;0,214209211
S_600_140_8;600;140;100;0,000635;0
S_600_140_8;600;140;450;0,00127;0
S_600_140_8;600;140;800;0,001905;0
S_600_140_8;600;140;1150;0,00254;0
S_600_140_8;600;140;1500;0,003175;0
S_600_140_8;600;140;1800;0,00381;0
S_600_140_8;600;140;2100;0,004445;0
S_600_140_8;600;140;2400;0,00508;0,016233766
S_600_140_8;600;140;2700;0,005715;0,097402597
S_600_140_8;600;140;2950;0,00635;0,194805195
S_600_140_8;600;140;3200;0,006985;0,340909091
S_600_140_8;600;140;3400;0,00762;0,487012987
S_600_140_8;600;140;3600;0,008255;0,487012987
S_600_140_8;600;140;3800;0,00889;0,535714286
S_600_140_8;600;140;4000;0,009525;0,568181818
S_600_140_8;600;140;4200;0,01016;0,584415584
S_600_140_8;600;140;4400;0,010795;0,633116883
S_600_140_8;600;140;4600;0,01143;0,649350649
S_600_140_8;600;140;4800;0,012065;0,714285714
S_600_140_8;600;140;5000;0,0127;0,714285714
S_600_95_6;600;95;100;0,000724129;0
S_600_95_6;600;95;450;0,003105732;0
S_600_95_6;600;95;800;0,004258998;0
S_600_95_6;600;95;1150;0,004446893;0
S_600_95_6;600;95;1500;0,006460302;0
S_600_95_6;600;95;1800;0,007026499;0
S_600_95_6;600;95;2100;0,008368423;0
S_600_95_6;600;95;2400;0,009643128;0,089253838
S_600_95_6;600;95;2650;0,01081086;0,357015352
S_600_95_6;600;95;2900;0,011953088;0,624776865
S_600_95_6;600;95;3100;0,015400988;0,785433774
S_600_95_6;600;95;3300;0,015761582;0,910389147
S_600_95_6;600;95;3500;0,016317363;0,999642985
S_600_95_6;600;95;3700;0,01783388;1,017493752
S_600_95_6;600;95;3900;0,01795929;1,03534452
S_600_95_6;600;95;4100;0,01917705;1,053195287
S_600_95_6;600;95;4300;0,022333929;1,088896823
S_600_95_6;600;95;4500;0,024669116;1,142449125
S_600_95_7;600;95;100;0;0
S_600_95_7;600;95;450;0,000655996;0
S_600_95_7;600;95;800;0,001478861;0
S_600_95_7;600;95;1150;0,003857869;0
S_600_95_7;600;95;1500;0,005251172;0
S_600_95_7;600;95;1800;0,006284287;0,065359477
S_600_95_7;600;95;2100;0,007716804;0,081699346
S_600_95_7;600;95;2400;0,008877692;0,130718954
S_600_95_7;600;95;2650;0,010480195;0,196078431
S_600_95_7;600;95;2900;0,011566034;0,245098039
S_600_95_7;600;95;3100;0,012492152;0,310457516
S_600_95_7;600;95;3300;0,013553307;0,473856209
S_600_95_7;600;95;3500;0,014486788;0,571895425
S_600_95_7;600;95;3700;0,015447997;0,620915033
S_600_95_7;600;95;3900;0,016391842;0,68627451
S_600_95_7;600;95;4100;0,017827666;0,735294118
S_600_95_7;600;95;4300;0,018552261;0,784313725
S_600_95_7;600;95;4500;0,019044017;0,816993464
S_600_95_8;600;95;100;0;0
S_600_95_8;600;95;450;0,001535343;0
S_600_95_8;600;95;800;0,002775385;0
S_600_95_8;600;95;1150;0,003983976;0
S_600_95_8;600;95;1500;0,00530791;0
S_600_95_8;600;95;1800;0,007056443;0
S_600_95_8;600;95;2100;0,007827143;0,282131661
S_600_95_8;600;95;2400;0,009018318;0,360501567
S_600_95_8;600;95;2650;0,009438944;0,407523511
S_600_95_8;600;95;2900;0,010238301;0,454545455
S_600_95_8;600;95;3100;0,011034629;0,532915361
S_600_95_8;600;95;3300;0,011532;0,768025078
S_600_95_8;600;95;3500;0,012493;0,830721003
S_600_95_8;600;95;3700;0,013454;0,846394984
S_600_95_8;600;95;3900;0,014415;0,893416928
S_600_95_8;600;95;4100;0,015376;0,909090909
S_600_95_8;600;95;4300;0,016337;0,940438871
S_600_95_8;600;95;4500;0,017298;0,940438871
S_600_95_8;600;95;???;0,018259;0,987460815
S_600_95_8;600;95;???;0,01922;1,003134796
S_600_65_6;600;65;100;0,000778543;0
S_600_65_6;600;65;500;0,001838875;0
S_600_65_6;600;65;900;0,002687272;0
S_600_65_6;600;65;1250;0,003877166;0
S_600_65_6;600;65;1600;0,004540282;0
S_600_65_6;600;65;1950;0,004198482;0
S_600_65_6;600;65;2300;0,005648755;0
S_600_65_6;600;65;2600;0,006811171;0
S_600_65_6;600;65;2900;0,007396602;0
S_600_65_6;600;65;3200;0,008126308;0
S_600_65_6;600;65;3500;0,009333793;0
S_600_65_6;600;65;3750;0,010316198;0
S_600_65_6;600;65;4000;0,010622517;0
S_600_65_6;600;65;4250;0,011390981;0
S_600_65_6;600;65;4500;0,012098181;0
S_600_65_6;600;65;4750;0,012602793;0
S_600_65_6;600;65;5000;0,01299823;0
S_600_65_6;600;65;5200;0,013562006;0
S_600_65_6;600;65;???;0,014406839;0
S_600_65_6;600;65;???;0,01517313;0
S_600_65_6;600;65;???;0,015855859;0
S_600_65_6;600;65;???;0,016138872;0
S_600_65_7;600;65;100;0;0
S_600_65_7;600;65;500;0,000464113;0
